Date,Close,Open,High,Low,Stupid,Change %,Format,Volume
1/11/2018,48888.00,54078.00,54078.00,45343.50,32.59K,-9.60%,32.59,32590
1/12/2018,54078.00,57376.00,57376.00,48383.00,27.31K,-5.75%,27.31,27310
1/13/2018,57376.00,55838.00,58238.00,55639.00,6.69K,2.75%,6.69,6690
1/14/2018,55838.00,55847.00,57352.00,55182.00,11.63K,-0.02%,11.63,11630
1/15/2018,55847.00,51566.00,56093.00,51079.00,11.80K,8.30%,11.80,11800
1/16/2018,51566.00,52060.00,52433.00,51356.90,5.87K,-0.95%,5.87,5870
1/17/2018,52060.00,49225.00,52284.00,49225.00,9.21K,5.76%,9.21,9210
1/18/2018,49225.00,47941.00,49533.50,47643.00,13.04K,2.68%,13.04,13040
1/19/2018,47941.00,48587.00,48694.00,46563.00,9.88K,-1.33%,9.88,9880
1/20/2018,48587.00,47177.00,49279.00,47177.00,7.34K,2.99%,7.34,7340
1/21/2018,47177.00,47389.00,47939.00,46582.00,5.23K,-0.45%,5.23,5230
1/22/2018,47389.00,47966.00,48540.00,47072.00,10.79K,-1.20%,10.79,10790
1/23/2018,47966.00,44835.00,47981.00,44444.00,10.30K,6.98%,10.30,10300
1/24/2018,44835.00,46486.00,47056.00,44541.00,10.02K,-3.55%,10.02,10020
1/25/2018,46486.00,46440.00,48004.00,45882.00,15.90K,0.10%,15.90,15900
1/26/2018,46440.00,38841.00,46440.00,38250.00,24.79K,19.56%,24.79,24790
1/27/2018,38841.00,39257.00,39561.00,38061.00,7.63K,-1.06%,7.63,7630
1/28/2018,39257.00,38260.00,40780.00,38260.00,10.18K,2.61%,10.18,10180
1/29/2018,38260.00,36975.00,38260.00,36759.00,4.48K,3.48%,4.48,4480
1/30/2018,36975.00,37677.00,37998.00,36521.00,6.42K,-1.86%,6.42,6420
1/31/2018,37677.00,35563.00,37677.00,35563.00,8.80K,5.94%,8.80,8800
2/1/2018,35563.00,33559.00,35960.00,33559.00,7.01K,5.97%,7.01,7010
2/2/2018,33559.00,33141.00,34460.10,32595.00,5.30K,1.26%,5.30,5300
2/3/2018,33141.00,34334.00,34334.00,32270.00,5.82K,-3.47%,5.82,5820
2/4/2018,34334.00,34268.00,34791.00,33136.60,7.29K,0.16%,7.29,7290
2/5/2018,34280.70,33350.00,38056.00,32466.00,28.64K,2.85%,28.64,28640
2/6/2018,33331.00,30454.00,33418.00,30344.00,9.17K,9.45%,9.17,9170
2/7/2018,30454.00,32519.00,32519.00,29815.00,14.77K,-6.35%,14.77,14770
2/8/2018,32519.00,32268.10,32735.10,31434.00,8.54K,0.78%,8.54,8540
2/9/2018,32268.10,32298.00,34693.00,32268.10,9.23K,-0.09%,9.23,9230
2/10/2018,32298.00,32099.00,32830.00,31481.00,5.89K,0.62%,5.89,5890
2/11/2018,32099.00,33062.00,33062.00,31773.00,7.07K,-2.91%,7.07,7070
2/12/2018,33062.00,30852.00,33631.00,28991.00,15.72K,7.09%,15.72,15720
2/13/2018,30873.00,35522.00,35522.00,30609.00,22.35K,-13.09%,22.35,22350
2/14/2018,35521.10,35915.00,36263.00,33447.00,14.14K,-1.22%,14.14,14140
2/15/2018,35958.00,36699.00,37673.00,35958.00,9.61K,-2.02%,9.61,9610
2/16/2018,36699.00,35913.00,36906.00,35180.00,8.41K,2.22%,8.41,8410
2/17/2018,35903.00,36061.00,36570.00,33914.00,9.85K,-0.42%,9.85,9850
2/18/2018,36055.00,36741.00,37750.00,35809.00,10.84K,-1.87%,10.84,10840
2/19/2018,36741.00,39145.00,39476.00,35268.00,15.55K,-6.20%,15.55,15550
2/20/2018,39170.00,37374.00,39750.00,37193.00,12.97K,4.80%,12.97,12970
2/21/2018,37375.00,34106.00,37418.00,33160.00,14.89K,9.59%,14.89,14890
2/22/2018,34103.00,35448.00,35838.60,33616.00,22.18K,-3.87%,22.18,22180
2/23/2018,35476.00,38226.00,38226.00,31842.00,48.04K,-7.19%,48.04,48040
2/24/2018,38226.00,40171.00,41209.30,37436.00,19.01K,-4.84%,19.01,19010
2/25/2018,40171.00,40509.00,41046.00,38966.00,8.17K,-0.83%,8.17,8170
2/26/2018,40509.00,39407.00,41616.00,37723.00,21.79K,2.80%,21.79,21790
2/27/2018,39407.00,36755.00,39672.00,36755.00,22.11K,7.22%,22.11,22110
2/28/2018,36755.00,33986.00,36755.00,33901.00,18.62K,8.12%,18.62,18620
3/1/2018,33996.00,32020.00,33996.00,30979.10,14.48K,6.17%,14.48,14480
3/2/2018,32020.00,32971.00,33403.00,29178.00,24.68K,-2.88%,24.68,24680
3/3/2018,32971.00,32183.00,34253.00,32110.00,18.91K,2.44%,18.91,18910
3/4/2018,32185.00,29346.00,33168.00,29192.00,22.01K,9.67%,22.01,22010
3/5/2018,29346.00,28933.00,29498.00,28932.00,8.33K,1.43%,8.33,8330
3/6/2018,28933.00,28880.00,29133.00,28358.00,12.22K,0.18%,12.22,12220
3/7/2018,28880.00,27316.00,28892.00,27316.00,10.51K,5.73%,10.51,10510
3/8/2018,27315.00,27058.00,27315.00,25923.00,8.92K,0.95%,8.92,8920
3/9/2018,27058.00,26241.00,27308.00,26241.00,7.60K,3.11%,7.60,7600
3/10/2018,26241.00,26410.00,28051.10,26241.00,17.96K,-0.65%,17.96,17960
3/11/2018,26412.00,24717.00,26577.00,24566.00,13.15K,6.86%,13.15,13150
3/12/2018,24717.00,23743.00,24717.00,23491.00,13.78K,4.14%,13.78,13780
3/13/2018,23735.00,23234.00,23735.00,22860.00,4.75K,2.16%,4.75,4750
3/14/2018,23234.00,23805.00,23916.00,22917.00,12.07K,-2.40%,12.07,12070
3/15/2018,23805.00,22701.00,23805.00,22489.70,7.41K,4.86%,7.41,7410
3/16/2018,22701.00,23432.70,23901.00,22483.00,14.18K,-3.10%,14.18,14180
3/17/2018,23427.00,23804.00,24099.00,23331.70,9.60K,-1.58%,9.60,9600
3/18/2018,23804.00,23127.00,24058.00,22966.00,9.67K,2.93%,9.67,9670
3/19/2018,23127.00,22806.60,23142.00,22544.00,7.28K,1.41%,7.28,7280
3/20/2018,22806.60,21322.00,23492.00,21322.00,22.87K,6.96%,22.87,22870
3/21/2018,21322.00,19459.00,21322.00,19388.00,21.07K,9.57%,21.07,21070
3/22/2018,19459.00,19282.00,19548.00,19135.00,6.93K,0.92%,6.93,6930
3/23/2018,19281.00,19180.00,19281.00,19076.00,2.53K,0.53%,2.53,2530
3/24/2018,19180.00,18818.00,19338.10,18747.00,4.83K,1.96%,4.83,4830
3/25/2018,18810.60,18050.00,18821.00,18050.00,3.68K,4.21%,3.68,3680
3/26/2018,18050.00,18260.00,18260.00,17764.00,6.57K,-1.15%,6.57,6570
3/27/2018,18260.00,18560.00,18560.00,18155.00,3.66K,-1.62%,3.66,3660
3/28/2018,18560.00,18337.00,18630.00,17827.00,9.77K,1.23%,9.77,9770
3/29/2018,18335.00,19196.00,19299.00,18335.00,9.62K,-4.49%,9.62,9620
3/30/2018,19196.00,19410.00,19410.00,18959.40,2.29K,-1.10%,2.29,2290
3/31/2018,19410.00,19157.00,19410.00,19015.60,4.33K,1.32%,4.33,4330
4/1/2018,19157.00,18657.00,19157.00,18657.00,3.66K,2.68%,3.66,3660
4/2/2018,18657.00,19452.00,19452.00,18657.00,8.65K,-4.06%,8.65,8650
4/3/2018,19447.00,19241.00,19560.00,18999.40,5.25K,1.07%,5.25,5250
4/4/2018,19241.00,18807.00,19275.00,18538.00,7.63K,2.31%,7.63,7630
4/5/2018,18807.00,19695.00,19733.00,18727.00,21.94K,-4.47%,21.94,21940
4/6/2018,19686.00,18196.00,19723.00,18196.00,14.95K,8.19%,14.95,14950
4/7/2018,18196.00,17746.00,18212.00,17579.20,3.99K,2.54%,3.99,3990
4/8/2018,17746.00,17169.30,17800.00,16997.00,5.75K,3.36%,5.75,5750
4/9/2018,17169.30,17211.70,17492.00,16614.90,11.21K,-0.29%,11.21,11210
4/10/2018,17219.00,18727.00,18824.00,16592.00,34.34K,-8.07%,34.34,34340
4/11/2018,18730.00,19134.80,19303.00,18730.00,13.48K,-2.12%,13.48,13480
4/12/2018,19134.80,18373.00,19349.00,18357.00,14.94K,4.15%,14.94,14940
4/13/2018,18373.00,18399.00,18655.00,18158.00,8.76K,-0.14%,8.76,8760
4/14/2018,18399.00,18660.00,18668.00,18122.00,9.10K,-1.40%,9.10,9100
4/15/2018,18660.00,18669.00,18944.50,18521.00,6.62K,-0.05%,6.62,6620
4/16/2018,18669.00,17810.00,18699.70,17810.00,7.97K,4.82%,7.97,7970
4/17/2018,17810.00,17773.00,18140.00,17486.00,5.57K,0.21%,5.57,5570
4/18/2018,17773.00,17674.90,18212.00,17378.60,17.52K,0.56%,17.52,17520
4/19/2018,17674.90,16710.00,17740.00,16627.00,12.21K,5.77%,12.21,12210
4/20/2018,16710.00,15962.20,16827.60,15906.00,6.52K,4.68%,6.52,6520
4/21/2018,15962.20,16057.00,16095.00,15871.00,2.56K,-0.60%,2.56,2560
4/22/2018,16058.30,16310.00,16310.00,15833.00,5.09K,-1.54%,5.09,5090
4/23/2018,16310.00,16296.20,16405.00,16079.00,7.70K,0.10%,7.70,7700
4/24/2018,16294.00,15710.00,16294.00,15656.00,12.30K,3.72%,12.30,12300
4/25/2018,15710.00,15312.00,15911.60,15312.00,6.94K,2.60%,6.94,6940
4/26/2018,15312.00,15329.00,15402.00,15177.00,3.74K,-0.11%,3.74,3740
4/27/2018,15329.00,15501.00,15687.00,15063.70,8.95K,-1.11%,8.95,8950
4/28/2018,15501.00,14844.10,15554.20,14844.10,6.47K,4.43%,6.47,6470
4/29/2018,14844.10,15571.70,15610.00,14734.00,14.37K,-4.67%,14.37,14370
4/30/2018,15571.70,15568.00,15876.00,15441.00,12.10K,-0.01%,12.10,12100
5/1/2018,15574.00,14160.00,15574.00,14160.00,15.90K,9.99%,15.90,15900
5/2/2018,14160.00,14025.00,14160.00,13643.00,10.10K,0.96%,10.10,10100
5/3/2018,14025.00,13562.00,14025.00,13401.00,5.81K,3.41%,5.81,5810
5/4/2018,13563.00,13756.00,13828.50,13414.00,6.59K,-1.40%,6.59,6590
5/5/2018,13756.00,13788.00,13829.00,13679.50,3.11K,-0.23%,3.11,3110
5/6/2018,13788.00,13568.00,13958.00,13499.00,8.95K,1.62%,8.95,8950
5/7/2018,13568.00,13451.00,13642.20,13250.00,4.66K,0.87%,4.66,4660
5/8/2018,13451.00,13272.00,13555.10,13153.00,4.07K,1.35%,4.07,4070
5/9/2018,13272.00,13626.30,13763.00,13041.20,7.11K,-2.60%,7.11,7110
5/10/2018,13626.30,13061.00,13703.50,13061.00,8.98K,4.33%,8.98,8980
5/11/2018,13061.00,13037.00,13205.00,12863.00,3.68K,0.18%,3.68,3680
5/12/2018,13037.00,13127.00,13298.00,12990.00,3.63K,-0.72%,3.63,3630
5/13/2018,13132.00,12935.00,13166.00,12905.00,1.97K,1.52%,1.97,1970
5/14/2018,12935.00,12988.00,12999.00,12757.00,2.90K,-0.41%,2.90,2900
5/15/2018,12988.00,12810.90,13128.00,12738.30,6.09K,1.27%,6.09,6090
5/16/2018,12825.00,11925.00,13099.00,11925.00,15.40K,7.55%,15.40,15400
5/17/2018,11925.00,11757.00,11980.00,11723.00,5.42K,1.43%,5.42,5420
5/18/2018,11757.00,11518.00,11764.00,11451.00,3.77K,2.08%,3.77,3770
5/19/2018,11518.00,11375.00,11518.00,11366.00,1.32K,1.26%,1.32,1320
5/20/2018,11375.00,11325.00,11375.00,11325.00,1.04K,0.44%,1.04,1040
5/21/2018,11325.00,11509.00,11540.00,11268.20,3.46K,-1.60%,3.46,3460
5/22/2018,11509.00,11440.00,11513.00,11335.00,4.26K,0.60%,4.26,4260
5/23/2018,11440.00,11442.00,11547.00,11347.00,2.69K,-0.02%,2.69,2690
5/24/2018,11442.00,11560.00,11560.00,11392.50,3.91K,-1.02%,3.91,3910
5/25/2018,11560.00,11385.00,11698.90,11284.00,6.37K,1.54%,6.37,6370
5/26/2018,11385.00,11308.00,11430.00,11308.00,1.48K,0.68%,1.48,1480
5/27/2018,11308.00,11071.00,11450.00,11071.00,4.17K,2.14%,4.17,4170
5/28/2018,11071.00,10943.00,11102.40,10878.00,2.57K,1.17%,2.57,2570
5/29/2018,10943.00,10687.00,10943.00,10577.00,3.64K,2.40%,3.64,3640
5/30/2018,10687.00,10613.70,10687.00,10584.10,1.67K,0.69%,1.67,1670
5/31/2018,10613.70,10807.00,10807.00,10592.00,3.22K,-1.79%,3.22,3220
6/1/2018,10807.00,10687.00,10807.00,10669.00,1.78K,1.12%,1.78,1780
6/2/2018,10687.00,10558.60,10694.10,10557.60,1.63K,1.22%,1.63,1630
6/3/2018,10558.60,10586.00,10608.00,10535.00,0.83K,-0.26%,0.83,830
6/4/2018,10586.00,10634.00,10634.00,10476.00,3.74K,-0.45%,3.74,3740
6/5/2018,10634.00,10795.00,10909.00,10523.00,5.68K,-1.48%,5.68,5680
6/6/2018,10794.00,10856.00,10856.00,10715.00,1.50K,-0.57%,1.50,1500
6/7/2018,10856.00,10712.00,10856.00,10697.00,1.79K,1.34%,1.79,1790
6/8/2018,10712.00,10803.00,10941.00,10712.00,3.79K,-0.84%,3.79,3790
6/9/2018,10803.00,10750.00,10807.10,10664.00,1.75K,0.49%,1.75,1750
6/10/2018,10750.00,10708.00,10776.90,10700.70,0.94K,0.39%,0.94,940
6/11/2018,10708.00,10754.00,10765.00,10629.00,2.35K,-0.43%,2.35,2350
6/12/2018,10754.00,10263.00,10760.00,10263.00,3.20K,4.78%,3.20,3200
6/13/2018,10263.00,10549.00,10549.00,10255.00,3.09K,-2.71%,3.09,3090
6/14/2018,10549.00,10435.00,10589.00,10435.00,2.41K,1.10%,2.41,2410
6/15/2018,10434.00,10934.50,10980.90,10434.00,6.01K,-4.58%,6.01,6010
6/16/2018,10934.50,11099.00,11099.00,10848.20,1.82K,-1.48%,1.82,1820
6/17/2018,11099.00,10957.20,11127.00,10957.20,2.47K,1.29%,2.47,2470
6/18/2018,10957.20,10959.00,11022.00,10868.00,2.26K,-0.02%,2.26,2260
6/19/2018,10959.00,10971.30,11040.40,10812.70,2.51K,-0.11%,2.51,2510
6/20/2018,10971.30,10797.00,11091.00,10690.90,4.80K,1.61%,4.80,4800
6/21/2018,10797.00,10690.00,10899.90,10690.00,4.99K,1.04%,4.99,4990
6/22/2018,10686.00,10331.00,10754.00,10331.00,3.68K,3.44%,3.68,3680
6/23/2018,10331.00,10458.00,10560.00,10244.00,4.04K,-1.21%,4.04,4040
6/24/2018,10458.00,10405.00,10463.50,10352.00,1.43K,0.51%,1.43,1430
6/25/2018,10405.00,10355.00,10405.00,10220.00,2.47K,0.48%,2.47,2470
6/26/2018,10355.00,10240.00,10407.00,10240.00,3.55K,1.12%,3.55,3550
6/27/2018,10240.00,10149.80,10324.00,10030.00,2.41K,0.89%,2.41,2410
6/28/2018,10149.80,10397.00,10397.00,10007.00,6.76K,-2.38%,6.76,6760
6/29/2018,10397.00,10276.00,10397.00,9964.10,6.30K,1.18%,6.30,6300
6/30/2018,10276.00,10196.90,10325.00,10122.00,2.76K,0.77%,2.76,2760
7/1/2018,10197.00,10484.70,10517.70,10046.20,8.51K,-2.74%,8.51,8510
7/2/2018,10484.70,10170.00,10593.00,10170.00,13.59K,3.09%,13.59,13590
7/3/2018,10170.00,11408.00,11408.00,10011.00,15.88K,-10.85%,15.88,15880
7/4/2018,11408.00,11942.00,11942.00,11334.00,6.19K,-4.47%,6.19,6190
7/5/2018,11942.00,11671.00,12037.00,11616.00,5.02K,2.32%,5.02,5020
7/6/2018,11671.00,11729.90,11734.00,11639.10,2.24K,-0.50%,2.24,2240
7/7/2018,11729.90,11492.00,11729.90,11492.00,2.10K,2.07%,2.10,2100
7/8/2018,11492.00,11545.00,11587.00,11476.30,1.52K,-0.46%,1.52,1520
7/9/2018,11545.00,11343.00,11545.00,11343.00,2.02K,1.78%,2.02,2020
7/10/2018,11343.00,11471.10,11471.10,11254.00,4.81K,-1.12%,4.81,4810
